	Chr	Pos	PhyloP	Strand	EnsemblID
0	chr6	24667262	-0.293000	+	ENSG00000112304
1	chr6	24667263	0.621000	+	ENSG00000112304
2	chr6	24667264	-0.861000	+	ENSG00000112304
3	chr6	24667265	-5.306000	+	ENSG00000112304
4	chr6	24667266	1.973000	+	ENSG00000112304
5	chr6	24667267	0.747000	+	ENSG00000112304
6	chr6	24667268	1.429000	+	ENSG00000112304
7	chr6	24667269	1.549000	+	ENSG00000112304
8	chr6	24667270	-1.358000	+	ENSG00000112304
9	chr6	24667271	0.498000	+	ENSG00000112304
10	chr6	24667272	0.162000	+	ENSG00000112304
11	chr6	24667273	1.492000	+	ENSG00000112304
12	chr6	24667274	1.269000	+	ENSG00000112304
13	chr6	24667275	0.112000	+	ENSG00000112304
14	chr6	24667276	-0.293000	+	ENSG00000112304
15	chr6	24667277	-0.225000	+	ENSG00000112304
16	chr6	24667278	-0.772000	+	ENSG00000112304
17	chr6	24667279	-1.345000	+	ENSG00000112304
18	chr6	24667280	-1.023000	+	ENSG00000112304
19	chr6	24667281	0.800000	+	ENSG00000112304
20	chr6	24667282	-0.026000	+	ENSG00000112304
21	chr6	24667283	-0.094000	+	ENSG00000112304
22	chr6	24667284	-0.608000	+	ENSG00000112304
23	chr6	24667285	-0.222000	+	ENSG00000112304
24	chr6	24667286	-1.296000	+	ENSG00000112304
25	chr6	24667287	-0.671000	+	ENSG00000112304
26	chr6	24667288	-1.782000	+	ENSG00000112304
27	chr6	24667289	-2.314000	+	ENSG00000112304
28	chr6	24667290	0.431000	+	ENSG00000112304
29	chr6	24667291	-0.974000	+	ENSG00000112304
30	chr6	24667292	0.508000	+	ENSG00000112304
31	chr6	24667293	-2.305000	+	ENSG00000112304
32	chr6	24667294	-0.111000	+	ENSG00000112304
33	chr6	24667295	-2.048000	+	ENSG00000112304
34	chr6	24667296	-0.023000	+	ENSG00000112304
35	chr6	24667297	-1.730000	+	ENSG00000112304
36	chr6	24667298	-0.882000	+	ENSG00000112304
37	chr6	24667299	0.075000	+	ENSG00000112304
38	chr6	24667300	0.057000	+	ENSG00000112304
39	chr6	24667301	-0.294000	+	ENSG00000112304
40	chr6	24667302	0.963000	+	ENSG00000112304
41	chr6	24667303	-0.085000	+	ENSG00000112304
42	chr6	24667304	-0.944000	+	ENSG00000112304
43	chr6	24667305	0.443000	+	ENSG00000112304
44	chr6	24667306	-0.963000	+	ENSG00000112304
45	chr6	24667307	0.454000	+	ENSG00000112304
46	chr6	24667308	-0.102000	+	ENSG00000112304
47	chr6	24667309	0.056000	+	ENSG00000112304
48	chr6	24667310	0.466000	+	ENSG00000112304
49	chr6	24667311	-2.677000	+	ENSG00000112304
50	chr6	24667312	-1.549000	+	ENSG00000112304
51	chr6	24667313	0.134000	+	ENSG00000112304
52	chr6	24667314	-0.244000	+	ENSG00000112304
53	chr6	24667315	-3.707000	+	ENSG00000112304
54	chr6	24667316	-1.248000	+	ENSG00000112304
55	chr6	24667317	-0.048000	+	ENSG00000112304
56	chr6	24667318	-4.507000	+	ENSG00000112304
57	chr6	24667319	-0.463000	+	ENSG00000112304
58	chr6	24667320	-0.489000	+	ENSG00000112304
59	chr6	24667321	-0.564000	+	ENSG00000112304
60	chr6	24667322	-2.042000	+	ENSG00000112304
61	chr6	24667323	-1.112000	+	ENSG00000112304
62	chr6	24667324	0.421000	+	ENSG00000112304
63	chr6	24667325	-2.634000	+	ENSG00000112304
64	chr6	24667326	0.504000	+	ENSG00000112304
65	chr6	24667327	-1.523000	+	ENSG00000112304
66	chr6	24667328	1.204000	+	ENSG00000112304
67	chr6	24667329	0.728000	+	ENSG00000112304
68	chr6	24667330	-0.336000	+	ENSG00000112304
69	chr6	24667331	-3.946000	+	ENSG00000112304
70	chr6	24667332	0.232000	+	ENSG00000112304
71	chr6	24667333	-0.138000	+	ENSG00000112304
72	chr6	24667334	-1.309000	+	ENSG00000112304
73	chr6	24667335	-0.802000	+	ENSG00000112304
74	chr6	24667336	0.851000	+	ENSG00000112304
75	chr6	24667337	-3.610000	+	ENSG00000112304
76	chr6	24667338	-0.357000	+	ENSG00000112304
77	chr6	24667339	-0.091000	+	ENSG00000112304
78	chr6	24667340	-1.347000	+	ENSG00000112304
79	chr6	24667341	-0.357000	+	ENSG00000112304
80	chr6	24667342	-1.999000	+	ENSG00000112304
81	chr6	24667343	-1.660000	+	ENSG00000112304
82	chr6	24667344	0.092000	+	ENSG00000112304
83	chr6	24667345	-0.522000	+	ENSG00000112304
84	chr6	24667346	-1.902000	+	ENSG00000112304
85	chr6	24667347	-0.939000	+	ENSG00000112304
86	chr6	24667348	-1.045000	+	ENSG00000112304
87	chr6	24667349	0.143000	+	ENSG00000112304
88	chr6	24667350	-2.891000	+	ENSG00000112304
89	chr6	24667351	-0.385000	+	ENSG00000112304
90	chr6	24667352	-0.675000	+	ENSG00000112304
91	chr6	24667353	-1.060000	+	ENSG00000112304
92	chr6	24667354	-3.488000	+	ENSG00000112304
93	chr6	24667355	-1.368000	+	ENSG00000112304
94	chr6	24667356	-2.461000	+	ENSG00000112304
95	chr6	24667357	-0.090000	+	ENSG00000112304
96	chr6	24667358	-0.321000	+	ENSG00000112304
97	chr6	24667359	-0.285000	+	ENSG00000112304
98	chr6	24667360	-0.465000	+	ENSG00000112304
99	chr6	24667361	0.093000	+	ENSG00000112304
100	chr6	24667362	0.130000	+	ENSG00000112304
101	chr6	24667363	-0.994000	+	ENSG00000112304
102	chr6	24667364	-0.474000	+	ENSG00000112304
103	chr6	24667365	-2.585000	+	ENSG00000112304
104	chr6	24667366	-0.973000	+	ENSG00000112304
105	chr6	24667367	-1.375000	+	ENSG00000112304
106	chr6	24667368	0.144000	+	ENSG00000112304
107	chr6	24667369	-1.009000	+	ENSG00000112304
108	chr6	24667370	-0.527000	+	ENSG00000112304
109	chr6	24667371	-0.223000	+	ENSG00000112304
110	chr6	24667372	0.021000	+	ENSG00000112304
111	chr6	24667373	-1.208000	+	ENSG00000112304
112	chr6	24667374	0.679000	+	ENSG00000112304
113	chr6	24667375	-3.717000	+	ENSG00000112304
114	chr6	24667376	0.609000	+	ENSG00000112304
115	chr6	24667377	-0.376000	+	ENSG00000112304
116	chr6	24667378	-0.408000	+	ENSG00000112304
117	chr6	24667379	-0.501000	+	ENSG00000112304
118	chr6	24667380	-1.298000	+	ENSG00000112304
119	chr6	24667381	-1.602000	+	ENSG00000112304
120	chr6	24667382	-1.065000	+	ENSG00000112304
121	chr6	24667383	-0.485000	+	ENSG00000112304
122	chr6	24667384	-0.542000	+	ENSG00000112304
123	chr6	24667385	-2.278000	+	ENSG00000112304
124	chr6	24667386	-1.546000	+	ENSG00000112304
125	chr6	24667387	-3.692000	+	ENSG00000112304
126	chr6	24667388	-1.961000	+	ENSG00000112304
127	chr6	24667389	-0.697000	+	ENSG00000112304
128	chr6	24667390	-2.545000	+	ENSG00000112304
129	chr6	24667391	-0.253000	+	ENSG00000112304
130	chr6	24667392	0.195000	+	ENSG00000112304
131	chr6	24667393	-0.946000	+	ENSG00000112304
132	chr6	24667394	0.219000	+	ENSG00000112304
133	chr6	24667395	0.087000	+	ENSG00000112304
134	chr6	24667396	-0.292000	+	ENSG00000112304
135	chr6	24667397	-0.723000	+	ENSG00000112304
136	chr6	24667398	-0.295000	+	ENSG00000112304
137	chr6	24667399	-1.716000	+	ENSG00000112304
138	chr6	24667400	-3.860000	+	ENSG00000112304
139	chr6	24667401	-1.425000	+	ENSG00000112304
140	chr6	24667402	-1.960000	+	ENSG00000112304
141	chr6	24667403	0.974000	+	ENSG00000112304
142	chr6	24667404	0.055000	+	ENSG00000112304
143	chr6	24667405	0.055000	+	ENSG00000112304
144	chr6	24667406	0.055000	+	ENSG00000112304
145	chr6	24667407	-0.412000	+	ENSG00000112304
146	chr6	24667408	-0.523000	+	ENSG00000112304
147	chr6	24667409	0.880000	+	ENSG00000112304
148	chr6	24667410	1.593000	+	ENSG00000112304
149	chr6	24667411	0.172000	+	ENSG00000112304
150	chr6	24667412	0.449000	+	ENSG00000112304
151	chr6	24667413	-0.732000	+	ENSG00000112304
152	chr6	24667414	-1.566000	+	ENSG00000112304
153	chr6	24667415	-0.987000	+	ENSG00000112304
154	chr6	24667416	-1.763000	+	ENSG00000112304
155	chr6	24667417	-0.031000	+	ENSG00000112304
156	chr6	24667418	-0.050000	+	ENSG00000112304
157	chr6	24667419	-1.852000	+	ENSG00000112304
158	chr6	24667420	-0.706000	+	ENSG00000112304
159	chr6	24667421	-0.360000	+	ENSG00000112304
160	chr6	24667422	-0.840000	+	ENSG00000112304
161	chr6	24667423	-1.140000	+	ENSG00000112304
162	chr6	24667424	-0.408000	+	ENSG00000112304
163	chr6	24667425	-0.178000	+	ENSG00000112304
164	chr6	24667426	-2.504000	+	ENSG00000112304
165	chr6	24667427	2.516000	+	ENSG00000112304
166	chr6	24667428	0.474000	+	ENSG00000112304
167	chr6	24667429	-0.340000	+	ENSG00000112304
168	chr6	24667430	-1.574000	+	ENSG00000112304
169	chr6	24667431	-0.359000	+	ENSG00000112304
170	chr6	24667432	-0.326000	+	ENSG00000112304
171	chr6	24667433	-0.178000	+	ENSG00000112304
172	chr6	24667434	-0.148000	+	ENSG00000112304
173	chr6	24667435	-0.880000	+	ENSG00000112304
174	chr6	24667436	-0.467000	+	ENSG00000112304
175	chr6	24667437	-0.660000	+	ENSG00000112304
176	chr6	24667438	-0.169000	+	ENSG00000112304
177	chr6	24667439	-0.345000	+	ENSG00000112304
178	chr6	24667440	-0.410000	+	ENSG00000112304
179	chr6	24667441	-1.045000	+	ENSG00000112304
180	chr6	24667442	-0.272000	+	ENSG00000112304
181	chr6	24667443	0.451000	+	ENSG00000112304
182	chr6	24667444	-1.110000	+	ENSG00000112304
183	chr6	24667445	-1.988000	+	ENSG00000112304
184	chr6	24667446	-0.232000	+	ENSG00000112304
185	chr6	24667447	0.121000	+	ENSG00000112304
186	chr6	24667448	0.486000	+	ENSG00000112304
187	chr6	24667449	-0.246000	+	ENSG00000112304
188	chr6	24667450	0.152000	+	ENSG00000112304
189	chr6	24667451	-0.049000	+	ENSG00000112304
190	chr6	24667452	-1.108000	+	ENSG00000112304
191	chr6	24667453	-0.233000	+	ENSG00000112304
192	chr6	24667454	0.393000	+	ENSG00000112304
193	chr6	24667455	-0.765000	+	ENSG00000112304
194	chr6	24667456	-0.924000	+	ENSG00000112304
195	chr6	24667457	-0.054000	+	ENSG00000112304
196	chr6	24667458	0.445000	+	ENSG00000112304
197	chr6	24667459	-1.344000	+	ENSG00000112304
198	chr6	24667460	-0.033000	+	ENSG00000112304
199	chr6	24667461	-0.364000	+	ENSG00000112304
200	chr6	24667462	-1.426000	+	ENSG00000112304
201	chr6	24667463	1.419000	+	ENSG00000112304
202	chr6	24667464	-0.328000	+	ENSG00000112304
203	chr6	24667465	-0.824000	+	ENSG00000112304
204	chr6	24667466	-0.245000	+	ENSG00000112304
205	chr6	24667467	-0.303000	+	ENSG00000112304
206	chr6	24667468	0.049000	+	ENSG00000112304
207	chr6	24667469	-0.238000	+	ENSG00000112304
208	chr6	24667470	1.504000	+	ENSG00000112304
209	chr6	24667471	-0.913000	+	ENSG00000112304
210	chr6	24667472	-0.052000	+	ENSG00000112304
211	chr6	24667473	0.893000	+	ENSG00000112304
212	chr6	24667474	0.834000	+	ENSG00000112304
213	chr6	24667475	-0.985000	+	ENSG00000112304
214	chr6	24667476	-0.713000	+	ENSG00000112304
215	chr6	24667477	0.925000	+	ENSG00000112304
216	chr6	24667478	-0.308000	+	ENSG00000112304
217	chr6	24667479	-2.173000	+	ENSG00000112304
218	chr6	24667480	-0.986000	+	ENSG00000112304
219	chr6	24667481	-1.051000	+	ENSG00000112304
220	chr6	24667482	0.003000	+	ENSG00000112304
221	chr6	24667483	-2.918000	+	ENSG00000112304
222	chr6	24667484	0.014000	+	ENSG00000112304
223	chr6	24667485	-0.484000	+	ENSG00000112304
224	chr6	24667486	-0.120000	+	ENSG00000112304
225	chr6	24667487	1.147000	+	ENSG00000112304
226	chr6	24667488	0.312000	+	ENSG00000112304
227	chr6	24667489	0.341000	+	ENSG00000112304
228	chr6	24667490	0.011000	+	ENSG00000112304
229	chr6	24667491	2.146000	+	ENSG00000112304
230	chr6	24667492	1.700000	+	ENSG00000112304
231	chr6	24667493	3.716000	+	ENSG00000112304
232	chr6	24667494	1.392000	+	ENSG00000112304
233	chr6	24667495	0.056000	+	ENSG00000112304
234	chr6	24667496	0.889000	+	ENSG00000112304
235	chr6	24667497	-1.853000	+	ENSG00000112304
236	chr6	24667498	-0.298000	+	ENSG00000112304
237	chr6	24667499	0.275000	+	ENSG00000112304
238	chr6	24667500	-2.873000	+	ENSG00000112304
239	chr6	24667501	0.251000	+	ENSG00000112304
240	chr6	24667502	1.768000	+	ENSG00000112304
241	chr6	24667503	0.754000	+	ENSG00000112304
242	chr6	24667504	0.319000	+	ENSG00000112304
243	chr6	24667505	-2.759000	+	ENSG00000112304
244	chr6	24667506	0.758000	+	ENSG00000112304
245	chr6	24667507	1.175000	+	ENSG00000112304
246	chr6	24667508	1.775000	+	ENSG00000112304
247	chr6	24667509	0.295000	+	ENSG00000112304
248	chr6	24667510	-1.382000	+	ENSG00000112304
249	chr6	24667511	-4.141000	+	ENSG00000112304
250	chr6	24667512	-3.740000	+	ENSG00000112304
251	chr6	24667513	1.017000	+	ENSG00000112304
252	chr6	24667514	0.275000	+	ENSG00000112304
253	chr6	24667515	0.942000	+	ENSG00000112304
254	chr6	24667516	-0.690000	+	ENSG00000112304
255	chr6	24667517	3.096000	+	ENSG00000112304
256	chr6	24667518	2.188000	+	ENSG00000112304
257	chr6	24667519	2.693000	+	ENSG00000112304
258	chr6	24667520	0.853000	+	ENSG00000112304
259	chr6	24667521	-3.403000	+	ENSG00000112304
260	chr6	24667522	-0.270000	+	ENSG00000112304
261	chr6	24667523	-0.432000	+	ENSG00000112304
262	chr6	24667524	-5.054000	+	ENSG00000112304
263	chr6	24667525	3.778000	+	ENSG00000112304
264	chr6	24667526	-0.260000	+	ENSG00000112304
265	chr6	24667527	1.991000	+	ENSG00000112304
266	chr6	24667528	1.992000	+	ENSG00000112304
267	chr6	24667529	1.995000	+	ENSG00000112304
268	chr6	24667530	-2.527000	+	ENSG00000112304
269	chr6	24667531	-1.348000	+	ENSG00000112304
270	chr6	24667532	-0.538000	+	ENSG00000112304
271	chr6	24667533	-5.652000	+	ENSG00000112304
272	chr6	24667534	2.311000	+	ENSG00000112304
273	chr6	24667535	-0.803000	+	ENSG00000112304
274	chr6	24667536	-3.113000	+	ENSG00000112304
275	chr6	24667537	-2.223000	+	ENSG00000112304
276	chr6	24667538	-0.996000	+	ENSG00000112304
277	chr6	24667539	-1.010000	+	ENSG00000112304
278	chr6	24667540	-0.976000	+	ENSG00000112304
279	chr6	24667541	-2.533000	+	ENSG00000112304
280	chr6	24667542	-0.946000	+	ENSG00000112304
281	chr6	24667543	-2.562000	+	ENSG00000112304
282	chr6	24667544	-1.190000	+	ENSG00000112304
283	chr6	24667545	-0.009000	+	ENSG00000112304
284	chr6	24667546	-1.188000	+	ENSG00000112304
285	chr6	24667547	-0.548000	+	ENSG00000112304
286	chr6	24667548	-2.067000	+	ENSG00000112304
287	chr6	24667549	-0.259000	+	ENSG00000112304
288	chr6	24667550	0.217000	+	ENSG00000112304
289	chr6	24667551	3.778000	+	ENSG00000112304
290	chr6	24667552	3.778000	+	ENSG00000112304
291	chr6	24667553	1.025000	+	ENSG00000112304
292	chr6	24667554	3.085000	+	ENSG00000112304
293	chr6	24667555	4.382000	+	ENSG00000112304
294	chr6	24667556	-0.768000	+	ENSG00000112304
295	chr6	24667557	2.582000	+	ENSG00000112304
296	chr6	24667558	3.101000	+	ENSG00000112304
297	chr6	24667559	1.854000	+	ENSG00000112304
298	chr6	24667560	0.669000	+	ENSG00000112304
299	chr6	24667561	1.588000	+	ENSG00000112304
300	chr6	24667562	0.197000	+	ENSG00000112304
