	Ensembl Gene ID	Chromosome Name	Gene Start (bp)	Gene End (bp)	Ensembl Protein Family ID(s)	Associated Gene Name
0	ENSG00000261657	HG991_PATCH	66119285	66465398	ENSFM00500000270824	SLC25A26
1	ENSG00000261530	HG706_PATCH	75610476	75660403	ENSFM00500000274245	BTC
2	ENSG00000260334	HG185_PATCH	39868578	39872221	ENSFM00500000293322	GAST
3	ENSG00000261125	HG185_PATCH	39873994	39890896	ENSFM00500000273792	HAP1
4	ENSG00000261577	HG185_PATCH	39910856	39943183	ENSFM00250000001012	JUP
5	ENSG00000261258	HG185_PATCH	39968962	39979465	ENSFM00500000270138	FKBP10
6	ENSG00000188403	15	20169919	20170354	ENSFM00670001235685	IGHV1OR15-9
7	ENSG00000259490	15	20192909	20193370	ENSFM00670001235368	IGHV3OR15-7
8	ENSG00000260753	HG185_PATCH	39981433	39992515	ENSFM00250000002417	NT5C3B
9	ENSG00000215405	15	20737094	20747114	ENSFM00500000278084	GOLGA6L6
10	ENSG00000169861	21	10862622	10863067	ENSFM00670001235685	IGHV1OR21-1
11	ENSG00000261631	HG185_PATCH	39991937	40004636	ENSFM00570000851286	KLHL10
12	ENSG00000230031	15	21040701	21071643	ENSFM00570000851034	POTEB2
13	ENSG00000259896	HG185_PATCH	40009797	40021683	ENSFM00400000132005	KLHL11
14	ENSG00000138593	15	49280673	49338760	ENSFM00570000851153	SECISBP2L
15	ENSG00000233917	15	22051853	22083227	ENSFM00570000851034	POTEB
16	ENSG00000166157	21	10906201	11029719	ENSFM00380000124724	TPTE
17	ENSG00000260245	HG185_PATCH	40023160	40075239	ENSFM00250000001673	ACLY
18	ENSG00000260703	HG185_PATCH	40086887	40121903	ENSFM00740001589364	TTC25
19	ENSG00000256715	21	14741931	14745386	ENSFM00620001018161	AL050302.1
20	ENSG00000166351	21	14982498	15013906	ENSFM00570000851034	POTED
21	ENSG00000260283	HG185_PATCH	40122993	40131428	ENSFM00740001589364	CNP
22	ENSG00000168675	18	13217497	13652754	ENSFM00250000003608	LDLRAD4
23	ENSG00000262684	HG185_PATCH	40132691	40173905	ENSFM00260000050791	DNAJC7
24	ENSG00000188992	21	15481134	15583166	ENSFM00570000851088	LIPI
25	ENSG00000185272	21	15588451	15600693	ENSFM00480000262851	RBM11
